,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,Sample_id,Class_Label,Type
71539,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42365,0.0,prototype
61364,0,0,0,0,2,8,7,8,6,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8567,0.0,prototype
22902,0,0,0,0,5,7,6,6,4,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30391,1.0,prototype
81382,0,0,0,3,5,3,6,3,4,7,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53681,0.0,prototype
4886,0,0,0,4,13,7,3,5,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12232,1.0,prototype
105631,0,0,0,0,1,0,0,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42923,0.0,prototype
21252,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35938,1.0,prototype
107540,0,0,0,0,0,0,2,2,4,10,10,5,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31450,0.0,prototype
94746,0,0,0,10,16,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51035,0.0,prototype
63164,0,0,4,11,8,7,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,0.0,prototype
46682,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35937,1.0,criticism
1806,0,0,1,11,12,8,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,1.0,criticism
101326,0,0,0,3,14,9,0,3,2,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12233,0.0,criticism
23136,0,0,0,0,8,5,6,5,3,6,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53684,1.0,criticism
66196,0,0,2,14,14,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51041,0.0,criticism
44707,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42361,1.0,criticism
36550,0,0,0,0,2,4,5,15,6,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8566,1.0,criticism
26602,0,0,0,5,8,10,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30395,1.0,criticism
52625,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42914,1.0,criticism
32364,0,0,0,0,0,1,4,2,5,5,5,5,4,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31439,1.0,criticism
