,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,Sample_id,Class_Label,Type
0,0,0,0,2,10,7,4,4,1,6,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62211,0.0,prototype
1,0,0,0,0,0,0,1,1,7,5,6,4,5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63996,0.0,prototype
2,0,0,0,0,0,0,0,0,17,15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71545,0.0,prototype
3,0,0,0,0,0,0,0,0,4,18,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76671,0.0,prototype
4,0,0,0,0,0,0,0,0,0,1,8,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77103,0.0,prototype
5,0,0,4,5,2,4,9,6,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87342,0.0,prototype
6,0,0,0,0,0,0,0,1,2,4,1,0,8,11,3,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,97517,0.0,prototype
7,0,0,0,0,0,0,0,0,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98203,0.0,prototype
8,0,0,0,0,0,0,2,1,4,4,5,8,6,3,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,104214,0.0,prototype
9,0,0,0,0,0,0,0,4,0,0,1,4,11,12,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,107466,0.0,prototype
10,0,0,1,10,7,5,5,3,4,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62208,0.0,criticism
11,0,0,0,4,4,7,7,4,8,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63986,0.0,criticism
12,0,0,0,0,0,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71541,0.0,criticism
13,0,0,1,2,0,4,2,0,0,20,0,1,4,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,76666,0.0,criticism
14,0,0,0,0,0,0,0,0,0,0,0,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77092,0.0,criticism
15,0,0,5,3,9,3,1,1,2,5,2,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87332,0.0,criticism
16,0,0,0,0,0,0,0,0,0,0,0,4,11,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97533,0.0,criticism
17,0,0,0,0,0,0,0,0,3,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98202,0.0,criticism
18,0,0,0,9,7,3,4,4,3,3,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104216,0.0,criticism
19,0,0,0,0,0,0,0,0,0,0,0,6,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107478,0.0,criticism
